Statement of Account
Opening Balance:,"150,000.00"
Transaction Date,Description,Withdrawal Amount,Deposit Amount,Available Balance
01/05/2026,SALARY ACME CORP PAYROLL,,"260,000.00","410,000.00"
03/05/2026,RENT TRANSFER IBFT OUT REF1004,"65,000.00",,"345,000.00"
05/05/2026,NETFLIX.COM POS 4521,"2,600.00",,"342,400.00"
06/05/2026,SPOTIFY P*ABC123,"1,000.00",,"341,400.00"
08/05/2026,K-ELECTRIC BILL CONSUMER 882,"12,000.00",,"329,400.00"
09/05/2026,PTCL BROADBAND BILL,"3,500.00",,"325,900.00"
10/05/2026,IMTIAZ SUPER MARKET POS 1102,"30,500.00",,"295,400.00"
15/05/2026,FOODPANDA ORDER TXN 13310,"5,500.00",,"289,900.00"
19/05/2026,CAREEM RIDES REF*X5,"3,100.00",,"286,800.00"
23/05/2026,TOTAL PARCO FUEL,"7,900.00",,"278,900.00"
28/05/2026,KHAADI CLOTHING,"12,000.00",,"266,900.00"
01/06/2026,SALARY ACME CORP PAYROLL,,"260,000.00","526,900.00"
03/06/2026,RENT TRANSFER IBFT OUT REF1005,"65,000.00",,"461,900.00"
05/06/2026,NETFLIX.COM POS 4521,"2,600.00",,"459,300.00"
06/06/2026,SPOTIFY P*ABC123,"1,000.00",,"458,300.00"
08/06/2026,K-ELECTRIC BILL CONSUMER 882,"12,000.00",,"446,300.00"
09/06/2026,PTCL BROADBAND BILL,"3,500.00",,"442,800.00"
09/06/2026,IMTIAZ SUPER MARKET POS 1102,"29,000.00",,"413,800.00"
14/06/2026,FOODPANDA ORDER TXN 14102,"5,000.00",,"408,800.00"
18/06/2026,CAREEM RIDES REF*X6,"2,900.00",,"405,900.00"
22/06/2026,PSO FUEL STATION,"8,100.00",,"397,800.00"
26/06/2026,ATM CASH WITHDRAWAL CARD 5566,"20,000.00",,"377,800.00"
Closing Balance:,"377,800.00"
